cell_name,sample,cell_type,cell_subtype,complexity,umap1,umap2,g1s_score,g2m_score,cell_cycle_phase,mp_top_score,mp_top,mp_assignment,source,cell_cohort
cy78_CD45_neg_1_D07_S523_comb,Mel78,Malignant,Malignant,8548,-11.489,-38.7355,2.138,2.0938,Intermediate,2.0266,Cell Cycle - G2/M,Cell Cycle - G2/M,post.treatment,Tirosh
cy78_CD45_neg_3_D01_S709_comb,Mel78,Malignant,Malignant,8472,-11.305,-38.5439,0.9937,2.1373,G2/M,2.6595,Cell Cycle - G2/M,Cell Cycle - G2/M,post.treatment,Tirosh
cy79_p5_CD45_neg_PDL1_pos_A04_S676_comb,Mel79,Malignant,Malignant,6065,23.3705,-25.4109,0.4951,-0.0393,Not cycling,1.335,Hypoxia,Hypoxia,treatment.naive,Tirosh
Cy71_CD45_B05_S497_comb,Mel71,Malignant,Malignant,4721,29.9329,31.1855,0.4332,0.2895,Not cycling,,"","",treatment.naive,Tirosh
Cy80_II_CD45_C09_S897_comb,Mel80,Malignant,Malignant,6021,-19.3257,42.8207,-0.1296,-0.1235,Not cycling,,"","",treatment.naive,Tirosh
cy81_FNA_CD45_neg_D04_S1000_comb,Mel81,Malignant,Malignant,9551,4.8536,-38.9734,0.1175,-0.0313,Not cycling,0.5176,Translation initiation,"",treatment.naive,Tirosh
cy82_CD45_pos_2_H12_S576_comb,Mel82,Macrophage,Macrophage,4431,41.9495,-0.575,0.7441,0.4855,G1/S,,"","",treatment.naive,Tirosh
cy79_p3_CD45_neg_PDL1_neg_F04_S256_comb,Mel79,Malignant,Malignant,6717,22.7262,-26.7885,-0.0428,0.0858,Not cycling,1.5432,Interferon/MHC-II (I),Interferon/MHC-II (I),treatment.naive,Tirosh
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_C01_S121_comb,Mel79,Malignant,Malignant,4758,25.4186,-26.9165,0.2258,0.1329,Not cycling,0.9239,Stress,"",treatment.naive,Tirosh
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D02_S134_comb,Mel79,Malignant,Malignant,2862,20.5577,-26.5592,-0.1026,-0.08,Not cycling,0.9857,Respiration,"",treatment.naive,Tirosh
cy80_CD45_neg_G01_S937_comb,Mel80,Malignant,Malignant,7453,-19.9355,41.9609,0.5262,0.1045,Not cycling,,"","",treatment.naive,Tirosh
cy78_CD45_neg_2_B08_S596_comb,Mel78,Malignant,Malignant,6475,-11.3814,-38.5681,2.2856,1.003,G1/S,2.1722,Cell Cycle - G1/S,Cell Cycle - G1/S,post.treatment,Tirosh
cy78_CD45_neg_1_E02_S530_comb,Mel78,Malignant,Malignant,7690,-9.8022,-37.8505,-0.0237,0.3629,Not cycling,0.3693,Skin pigmentation,"",post.treatment,Tirosh
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_F07_S163_comb,Mel79,Malignant,Malignant,5376,24.3179,-26.723,-0.0169,-0.0552,Not cycling,0.7214,Stress,"",treatment.naive,Tirosh
CY89CORE11_A11_S107_comb,Mel89,Malignant,Malignant,6825,37.8762,15.1058,0.4956,0.0886,Not cycling,0.7909,Skin pigmentation,"",treatment.naive,Tirosh
cy78_CD45_neg_3_B02_S686_comb,Mel78,Malignant,Malignant,7586,-10.8221,-38.1821,0.3633,0.5153,Not cycling,0.9314,Interferon/MHC-II (I),"",post.treatment,Tirosh
cy79_p5_CD45_neg_PDL1_neg_A02_S770_comb,Mel79,Malignant,Malignant,3715,18.5771,-30.1216,-0.2315,0.0309,Not cycling,1.0961,Stress,Stress,treatment.naive,Tirosh
cy79_p4_CD45_neg_PDL1_neg_D01_S1093_comb,Mel79,Malignant,Malignant,4702,23.6013,-27.3364,-0.1794,0.1487,Not cycling,0.6875,Interferon/MHC-II (II),"",treatment.naive,Tirosh
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_C01_S313_comb,Mel79,Malignant,Malignant,5901,22.7176,-26.6819,-0.0137,0.1052,Not cycling,0.5761,Interferon/MHC-II (I),"",treatment.naive,Tirosh
cy81_Bulk_CD45_neg_A10_S106_comb,Mel81,Malignant,Malignant,5266,3.9164,-38.8041,0.0936,0.0122,Not cycling,1.0949,Stress,Stress,treatment.naive,Tirosh
cy53_1_CD45_neg_E04_S340_comb,Mel53,Malignant,Malignant,4653,14.3742,-10.0102,0.2291,-0.0101,Not cycling,,"","",treatment.naive,Tirosh
cy79_p5_CD45_neg_PDL1_neg_C03_S795_comb,Mel79,Malignant,Malignant,4608,20.2406,-29.0042,0.1055,5e-04,Not cycling,0.3916,Respiration,"",treatment.naive,Tirosh
cy78_CD45_neg_3_D04_S712_comb,Mel78,Malignant,Malignant,7933,-10.952,-38.3165,0.6173,0.2802,Not cycling,0.4282,Respiration,"",post.treatment,Tirosh
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_A10_S10_comb,Mel79,Malignant,Malignant,6014,21.7831,-27.4354,0.0602,0.0465,Not cycling,0.5435,Interferon/MHC-II (I),"",treatment.naive,Tirosh
cy81_FNA_CD45_neg_B01_S973_comb,Mel81,Malignant,Malignant,6667,5.3281,-38.3903,0.0015,-0.082,Not cycling,1.0034,Hypoxia,Hypoxia,treatment.naive,Tirosh
Cy81_FNA_CD45_E05_S341_comb,Mel81,Malignant,Malignant,7719,4.7865,-38.7371,0.3356,0.0338,Not cycling,0.8702,Hypoxia,"",treatment.naive,Tirosh
cy78_CD45_neg_3_E02_S722_comb,Mel78,Malignant,Malignant,7418,-10.4767,-37.9868,-0.1512,0.064,Not cycling,0.8384,Interferon/MHC-II (I),"",post.treatment,Tirosh
cy79_p3_CD45_neg_PDL1_neg_H12_S288_comb,Mel79,Malignant,Malignant,8336,22.9637,-26.3038,0.233,0.1989,Not cycling,0.9035,Respiration,"",treatment.naive,Tirosh
cy79_p5_CD45_neg_PDL1_pos_D05_S713_comb,Mel79,Malignant,Malignant,4068,25.9436,-26.5337,0.0246,0.0981,Not cycling,0.8597,Hypoxia,"",treatment.naive,Tirosh
cy78_CD45_neg_3_D10_S718_comb,Mel78,Malignant,Malignant,3602,-10.1796,-38.3002,-0.0742,-0.0053,Not cycling,0.4623,Skin pigmentation,"",post.treatment,Tirosh
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_G10_S82_comb,Mel79,Malignant,Malignant,6932,25.3465,-26.1857,0.1127,0.1423,Not cycling,0.6387,EMT III,"",treatment.naive,Tirosh
cy78_CD45_neg_1_G05_S557_comb,Mel78,Malignant,Malignant,8934,-11.4816,-38.5657,2.1553,0.8201,G1/S,1.4472,Cell Cycle - G1/S,Cell Cycle - G1/S,post.treatment,Tirosh
CY88_5_C12_S708_comb,Mel88,Malignant,Malignant,6563,13.8784,37.1578,-0.0104,-0.0451,Not cycling,0.4062,IG,"",post.treatment,Tirosh
cy79_p5_CD45_neg_PDL1_pos_B02_S686_comb,Mel79,Malignant,Malignant,5283,24.2108,-27.214,-0.1108,0.0423,Not cycling,1.0744,Translation initiation,Translation initiation,treatment.naive,Tirosh
Cy81_Bulk_CD45_E10_S154_comb,Mel81,Malignant,Malignant,7468,3.7457,-38.6847,0.7476,0.2976,G1/S,1.0389,Stress,Stress,treatment.naive,Tirosh
CY88CD45_150813_G04_S364_comb,Mel88,Malignant,Malignant,8227,-30.683,21.2245,-0.1728,-0.0509,Not cycling,4.298,Interferon/MHC-II (I),Interferon/MHC-II (I),post.treatment,Tirosh
Cy80_II_CD45_H07_S955_comb,Mel80,Malignant,Malignant,4020,-20.1746,42.9595,0.8166,-0.0333,G1/S,,"","",treatment.naive,Tirosh
cy79_p4_CD45_neg_PDL1_neg_B08_S1076_comb,Mel79,Malignant,Malignant,4826,19.3482,-29.4124,-0.1397,-0.0039,Not cycling,0.599,Interferon/MHC-II (II),"",treatment.naive,Tirosh
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_B07_S19_comb,Mel79,Malignant,Malignant,5702,23.1893,-26.6611,-0.0017,-0.0531,Not cycling,1.7955,Interferon/MHC-II (I),Interferon/MHC-II (I),treatment.naive,Tirosh
cy82_CD45_pos_3_A03_S3_comb,Mel82,"",Unassigned,2967,41.5013,-0.7553,,,"",,"","",treatment.naive,Tirosh
cy79_p4_CD45_neg_PDL1_neg_C12_S1092_comb,Mel79,Malignant,Malignant,3106,22.4653,-29.0303,0.0993,-0.0378,Not cycling,0.6459,Skin pigmentation,"",treatment.naive,Tirosh
cy78_CD45_neg_3_G11_S755_comb,Mel78,Malignant,Malignant,7916,-11.1351,-38.5828,1.3996,0.5382,G1/S,0.8362,Cell Cycle - G1/S,"",post.treatment,Tirosh
Cy81_FNA_CD45_D09_S333_comb,Mel81,Malignant,Malignant,5345,5.088,-38.2511,-0.1236,0.0879,Not cycling,1.242,Hypoxia,Hypoxia,treatment.naive,Tirosh
cy79_p3_CD45_neg_PDL1_neg_A08_S200_comb,Mel79,Malignant,Malignant,4349,22.6295,-29.5611,-0.0074,-0.0198,Not cycling,0.6293,Astrocytes,"",treatment.naive,Tirosh
Cy71_CD45_E12_S540_comb,Mel71,Malignant,Malignant,4534,29.3934,31.0226,-0.203,-0.0026,Not cycling,,"","",treatment.naive,Tirosh
cy94_cd45neg_cd90pos_G07_S367_comb,Mel94,Malignant,Malignant,4627,21.0996,-26.3082,-0.2238,-0.1381,Not cycling,,"","",post.treatment,Tirosh
cy78_CD45_neg_1_H01_S565_comb,Mel78,Malignant,Malignant,8927,-11.1303,-38.1879,0.764,0.4082,G1/S,0.5163,Interferon/MHC-II (I),"",post.treatment,Tirosh
CY89CORE11_F05_S161_comb,Mel89,Malignant,Malignant,7496,37.9626,15.5902,2.2479,1.4976,Intermediate,3.0446,Cell Cycle - G1/S,Cell Cycle - G1/S,treatment.naive,Tirosh
CY89NEG_C03_S27_comb,Mel89,Malignant,Malignant,6231,37.9912,14.8569,-0.1514,0.0063,Not cycling,1.5338,Skin pigmentation,Skin pigmentation,treatment.naive,Tirosh
cy81_Bulk_CD45_neg_G01_S169_comb,Mel81,Malignant,Malignant,6553,5.2527,-38.4501,0.1099,0.0564,Not cycling,1.4865,Hypoxia,Hypoxia,treatment.naive,Tirosh
CY89CORE11_B10_S118_comb,Mel89,Malignant,Malignant,6668,38.2121,15.1174,0.063,0.1209,Not cycling,0.5151,Skin pigmentation,"",treatment.naive,Tirosh
cy78_CD45_neg_1_C02_S506_comb,Mel78,Malignant,Malignant,4651,-9.7586,-37.7691,-0.1185,0.1686,Not cycling,1.6377,Interferon/MHC-II (I),Interferon/MHC-II (I),post.treatment,Tirosh
CY88_5_G04_S748_comb,Mel88,Malignant,Malignant,4793,13.675,36.4718,-0.0619,0.0118,Not cycling,0.5025,MYC,"",post.treatment,Tirosh
cy79_p3_CD45_neg_PDL1_neg_H04_S280_comb,Mel79,Malignant,Malignant,5566,23.0563,-28.1073,-0.1637,0.0029,Not cycling,0.6942,Interferon/MHC-II (II),"",treatment.naive,Tirosh
CY88_3_F05_S641_comb,Mel88,Malignant,Malignant,3891,12.7624,37.522,-0.0209,0.1334,Not cycling,1.0223,Interferon/MHC-II (I),Interferon/MHC-II (I),post.treatment,Tirosh
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_B10_S118_comb,Mel79,Malignant,Malignant,5465,25.6788,-26.9658,-0.0034,0.2092,Not cycling,1.5967,Stress,Stress,treatment.naive,Tirosh
Cy71_CD45_G02_S554_comb,Mel71,Malignant,Malignant,4063,29.3342,31.0276,-0.1407,-0.0704,Not cycling,,"","",treatment.naive,Tirosh
cy78_CD45_neg_1_A05_S485_comb,Mel78,Malignant,Malignant,7402,-9.9684,-38.4775,0.2154,0.4611,Not cycling,0.502,Translation initiation,"",post.treatment,Tirosh
cy81_Bulk_CD45_neg_C03_S123_comb,Mel81,Malignant,Malignant,5958,4.4712,-37.8692,-0.0558,-0.0062,Not cycling,1.268,Stress,Stress,treatment.naive,Tirosh
cy79_p4_CD45_neg_PDL1_neg_C03_S1083_comb,Mel79,Malignant,Malignant,3950,21.7306,-29.9471,0.09,0.043,Not cycling,0.9405,Interferon/MHC-II (I),"",treatment.naive,Tirosh
cy94_cd45neg_cd90pos_E08_S344_comb,Mel94,Malignant,Malignant,6592,21.1645,-26.096,-0.0052,-0.119,Not cycling,,"","",post.treatment,Tirosh
cy81_FNA_CD45_neg_C09_S993_comb,Mel81,Malignant,Malignant,10092,4.8856,-39.3915,0.1653,0.139,Not cycling,0.5341,EMT I,"",treatment.naive,Tirosh
cy80_CD45_neg_G04_S940_comb,Mel80,Malignant,Malignant,7840,-20.5875,42.2677,0.926,2.3535,G2/M,,"","",treatment.naive,Tirosh
Cy80_II_CD45_H09_S957_comb,Mel80,Malignant,Malignant,6570,-20.3999,42.6883,0.09,0.2792,Not cycling,,"","",treatment.naive,Tirosh
cy80_CD45_neg_A09_S873_comb,Mel80,Malignant,Malignant,6953,-19.4638,42.5823,-0.1161,-0.1034,Not cycling,,"","",treatment.naive,Tirosh
CY88_3_H11_S671_comb,Mel88,Malignant,Malignant,6898,13.8507,36.7951,0.0605,0.0119,Not cycling,0.5027,EMT III,"",post.treatment,Tirosh
Cy80_II_CD45_B11_S887_comb,Mel80,Malignant,Malignant,6395,-19.7014,42.76,-0.1865,-0.0095,Not cycling,,"","",treatment.naive,Tirosh
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D12_S144_comb,Mel79,Malignant,Malignant,3791,24.7321,-28.1747,-0.2063,-0.0044,Not cycling,1.8443,Stress,Stress,treatment.naive,Tirosh
CY89NEG_B03_S15_comb,Mel89,Malignant,Malignant,6231,37.6757,14.9648,-0.052,0.0402,Not cycling,0.3456,Skin pigmentation,"",treatment.naive,Tirosh
Cy81_Bulk_CD45_E04_S148_comb,Mel81,Malignant,Malignant,7206,3.8841,-38.8856,0.3514,-0.03,Not cycling,0.5159,Stress,"",treatment.naive,Tirosh
Cy80_II_CD45_D11_S911_comb,Mel80,Malignant,Malignant,7098,-20.3929,42.5548,1.3205,0.2668,G1/S,,"","",treatment.naive,Tirosh
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D05_S137_comb,Mel79,Malignant,Malignant,5438,25.0649,-26.8336,0.0426,0.1982,Not cycling,1.0837,Stress,Stress,treatment.naive,Tirosh
cy78_CD45_neg_1_E03_S531_comb,Mel78,Malignant,Malignant,5052,-10.2118,-38.7633,0.9137,0.3788,G1/S,0.8956,Cell Cycle - G1/S,"",post.treatment,Tirosh
CY88_3_C10_S610_comb,Mel88,Malignant,Malignant,6687,14.0784,37.171,0.016,0.086,Not cycling,0.4827,EMT III,"",post.treatment,Tirosh
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_B08_S308_comb,Mel79,Malignant,Malignant,3865,24.3239,-28.3783,-0.1647,0.0729,Not cycling,1.1375,Stress,Stress,treatment.naive,Tirosh
cy78_CD45_neg_1_E07_S535_comb,Mel78,Malignant,Malignant,6901,-10.2267,-38.412,0.2318,-0.0055,Not cycling,0.3838,EMT II,"",post.treatment,Tirosh
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_B12_S24_comb,Mel79,Malignant,Malignant,5850,23.51,-27.4638,0.036,0.0383,Not cycling,0.311,Respiration,"",treatment.naive,Tirosh
CY89NEG_G01_S73_comb,Mel89,Malignant,Malignant,5924,37.6057,15.0116,0.0955,0.1744,Not cycling,0.7913,Skin pigmentation,"",treatment.naive,Tirosh
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_B02_S14_comb,Mel79,Malignant,Malignant,6001,25.6653,-26.277,0.0393,0.1816,Not cycling,1.4691,Stress,Stress,treatment.naive,Tirosh
cy79_p4_CD45_neg_PDL1_pos_G08_S464_comb,Mel79,Malignant,Malignant,6615,22.0839,-27.4887,0.162,-0.0305,Not cycling,0.9389,Interferon/MHC-II (I),"",treatment.naive,Tirosh
cy81_FNA_CD45_neg_F09_S1029_comb,Mel81,Malignant,Malignant,7912,4.809,-39.4499,0.387,0.0224,Not cycling,0.6593,Skin pigmentation,"",treatment.naive,Tirosh
cy78_CD45_neg_2_C06_S606_comb,Mel78,Malignant,Malignant,3398,-9.1918,-38.1558,-0.1688,-0.1044,Not cycling,1.26,Stress,"",post.treatment,Tirosh
Cy81_FNA_CD45_G10_S370_comb,Mel81,Malignant,Malignant,2821,3.8919,-38.5139,-0.2956,-0.1937,Not cycling,0.7536,MYC,"",treatment.naive,Tirosh
Cy71_CD45_E11_S539_comb,Mel71,Malignant,Malignant,4925,29.3994,31.1639,0.4822,0.4,Not cycling,,"","",treatment.naive,Tirosh
CY88_5_D11_S719_comb,Mel88,Malignant,Malignant,6780,13.6598,36.7982,-0.0106,0.0914,Not cycling,0.66,Skin pigmentation,"",post.treatment,Tirosh
cy82_CD45_pos_2_D11_S527_comb,Mel82,"",Unassigned,5150,41.4428,-0.8382,,,"",,"","",treatment.naive,Tirosh
CY89FNAQ2_F06_S450_comb,Mel89,Malignant,Malignant,8202,38.1511,15.2694,0.371,0.1716,Not cycling,0.5856,Skin pigmentation,"",treatment.naive,Tirosh
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_C08_S32_comb,Mel79,Malignant,Malignant,6345,23.2394,-26.3071,0.1371,0.173,Not cycling,0.4322,EMT II,"",treatment.naive,Tirosh
cy78_CD45_neg_3_G02_S746_comb,Mel78,Malignant,Malignant,7567,-10.1622,-37.8847,-0.1323,0.2205,Not cycling,0.9699,Hypoxia,"",post.treatment,Tirosh
Cy81_FNA_CD45_C09_S321_comb,Mel81,Malignant,Malignant,7589,4.3994,-39.2832,0.3565,-0.0475,Not cycling,0.3628,Translation initiation,"",treatment.naive,Tirosh
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_F06_S66_comb,Mel79,Malignant,Malignant,7319,25.4106,-25.9666,0.0241,0.1258,Not cycling,1.313,Hypoxia,Hypoxia,treatment.naive,Tirosh
cy78_CD45_neg_1_B02_S494_comb,Mel78,Malignant,Malignant,8130,-10.9315,-38.0411,0.7708,0.6096,G1/S,0.6639,Interferon/MHC-II (I),"",post.treatment,Tirosh
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_E01_S49_comb,Mel79,Malignant,Malignant,5496,25.6725,-26.8846,0.1735,-0.011,Not cycling,1.07,Stress,Stress,treatment.naive,Tirosh
cy80_CD45_neg_D04_S904_comb,Mel80,Malignant,Malignant,7774,-19.8363,42.387,1.6969,0.1306,G1/S,,"","",treatment.naive,Tirosh
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_F01_S157_comb,Mel79,Malignant,Malignant,5660,23.635,-27.1943,0.0066,0.0201,Not cycling,0.1985,Skin pigmentation,"",treatment.naive,Tirosh
cy79_p4_CD45_neg_PDL1_pos_A02_S386_comb,Mel79,Malignant,Malignant,4645,21.8251,-28.7264,-0.1952,0.0248,Not cycling,0.5703,Translation initiation,"",treatment.naive,Tirosh
cy80_CD45_neg_E02_S914_comb,Mel80,Malignant,Malignant,5766,-20.1426,42.5861,1.7759,0.5004,G1/S,,"","",treatment.naive,Tirosh
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_D09_S45_comb,Mel79,Malignant,Malignant,4353,23.9138,-28.5542,0.1492,0.0433,Not cycling,1.7256,Stress,Stress,treatment.naive,Tirosh
cy78_CD45_neg_1_H07_S571_comb,Mel78,Malignant,Malignant,6035,-9.8683,-38.315,0.2084,0.296,Not cycling,0.4737,Stress,"",post.treatment,Tirosh
Cy80_II_CD45_G07_S943_comb,Mel80,Malignant,Malignant,5909,-20.1537,42.5,2.3514,1.0718,G1/S,,"","",treatment.naive,Tirosh
cy78_CD45_neg_1_F06_S546_comb,Mel78,Malignant,Malignant,6791,-10.7067,-38.5834,1.099,0.4366,G1/S,0.5175,MYC,"",post.treatment,Tirosh
cy81_FNA_CD45_neg_E04_S1012_comb,Mel81,Malignant,Malignant,7442,5.011,-39.2943,-0.0077,-0.0722,Not cycling,0.5633,Astrocytes,"",treatment.naive,Tirosh
cy81_Bulk_CD45_neg_E04_S148_comb,Mel81,Malignant,Malignant,4496,3.9988,-38.5313,0.1325,0.0782,Not cycling,0.901,Stress,"",treatment.naive,Tirosh
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_H01_S181_comb,Mel79,Malignant,Malignant,5891,25.7287,-26.9303,0.2007,0.144,Not cycling,0.571,Stress,"",treatment.naive,Tirosh
cy81_Bulk_CD45_neg_C11_S131_comb,Mel81,Malignant,Malignant,9314,4.083,-38.9991,0.4047,2.689,G2/M,4.1568,Cell Cycle - G2/M,Cell Cycle - G2/M,treatment.naive,Tirosh
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_A04_S4_comb,Mel79,Malignant,Malignant,5890,25.7758,-26.5113,0.164,0.2467,Not cycling,1.8781,Stress,Stress,treatment.naive,Tirosh
cy81_Bulk_CD45_neg_D09_S141_comb,Mel81,Malignant,Malignant,7037,4.5661,-38.9042,0.1437,0.1394,Not cycling,0.5211,EMT IV,"",treatment.naive,Tirosh
Cy71_CD45_G08_S560_comb,Mel71,Malignant,Malignant,3980,29.4664,30.8951,0.3062,0.6677,G2/M,,"","",treatment.naive,Tirosh
CY89CORE11_A04_S100_comb,Mel89,Malignant,Malignant,6918,38.2899,15.1892,0.8731,0.0784,G1/S,0.7672,Cell Cycle - G1/S,"",treatment.naive,Tirosh
cy80_CD45_neg_G02_S938_comb,Mel80,Malignant,Malignant,7821,-20.2082,42.4045,0.3621,1.3866,G2/M,,"","",treatment.naive,Tirosh
CY88_5_H03_S759_comb,Mel88,Malignant,Malignant,7148,14.1443,36.5986,0.9365,0.0359,G1/S,0.7807,Cell Cycle - G1/S,"",post.treatment,Tirosh
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_B08_S20_comb,Mel79,Malignant,Malignant,5962,24.7534,-26.4024,0.0336,0.0469,Not cycling,0.9353,Stress,"",treatment.naive,Tirosh
CY88_5_E04_S724_comb,Mel88,Malignant,Malignant,4165,13.306,36.0148,-0.2049,-0.1054,Not cycling,1.2045,Skin pigmentation,Skin pigmentation,post.treatment,Tirosh
CY89NEG_H11_S95_comb,Mel89,Malignant,Malignant,6173,38.3321,15.5818,0.0795,0.1217,Not cycling,0.4443,EMT III,"",treatment.naive,Tirosh
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_D11_S335_comb,Mel79,Malignant,Malignant,5362,21.6269,-27.5653,0.0176,0.169,Not cycling,0.9609,Respiration,"",treatment.naive,Tirosh
cy79_p5_CD45_neg_PDL1_neg_E02_S818_comb,Mel79,Malignant,Malignant,4281,24.7557,-27.3692,-0.0263,0.1014,Not cycling,0.4344,Translation initiation,"",treatment.naive,Tirosh
cy82_CD45_pos_3_B11_S23_comb,Mel82,"",Unassigned,10512,42.3009,-0.5634,,,"",,"","",treatment.naive,Tirosh
cy81_FNA_CD45_neg_F08_S1028_comb,Mel81,Malignant,Malignant,8761,4.7265,-39.4895,0.414,0.0341,Not cycling,0.257,Astrocytes,"",treatment.naive,Tirosh
CY88_3_D07_S619_comb,Mel88,Malignant,Malignant,7931,13.7592,37.0133,0.0956,0.1175,Not cycling,0.4508,Skin pigmentation,"",post.treatment,Tirosh
