cell_name,sample,cell_type,complexity,umap1,umap2,g1s_score,g2m_score,cell_cycle_phase,mp_top_score,mp_top,mp_assignment
Cy72_CD45_G12_S756_comb,72,T_cell,3654,-2.9338,19.3421,0.0561,-0.0945,Not cycling,0.2179,CD4 - Naive1,""
Cy72_CD45_B02_S686_comb,72,T_cell,2880,-3.0944,16.9755,0.0551,0.0446,Not cycling,0.3007,CD8 - Naive3,""
CY58_1_CD45_B09_S981_comb,58,T_cell,3598,-1.017,16.317,0.0378,-0.1793,Not cycling,1.272,CD4 - Naive1,CD4 - Naive1
Cy81_Bulk_CD45_E08_S152_comb,81,Malignant,7437,-22.6433,-25.8634,0.3079,0.1748,Not cycling,0.4706,RBCs,""
Cy71_CD45_H07_S571_comb,71,"",3557,-8.4027,-21.2009,,,"",,"",""
Cy74_CD45_E04_S436_comb,74,T_cell,3398,11.986,7.0822,1.4762,1.3553,Intermediate,3.7877,CD4 - Cell Cycle,""
Cy80_II_CD45_G09_S945_comb,80,Malignant,5214,37.9771,-14.6698,0.141,-0.0939,Not cycling,2.4082,Hypoxia,Hypoxia
Cy81_FNA_CD45_A02_S194_comb,81,T_cell,3888,16.9627,11.7667,0.1193,0.1948,Not cycling,,"",""
Cy81_FNA_CD45_H12_S288_comb,81,"",4001,-9.303,9.7943,,,"",,"",""
Cy81_FNA_CD45_A06_S198_comb,81,T_cell,3233,-0.6694,18.7278,0.0369,-0.1179,Not cycling,,"",""
Cy80_II_CD45_D09_S909_comb,80,Malignant,5724,39.1784,-14.2377,0.2416,-0.0296,Not cycling,0.3895,EMT I,""
Cy74_CD45_F01_S445_comb,74,T_cell,2823,7.9791,13.1103,0.0092,0.0028,Not cycling,0.4959,CD8 - Cytotoxic,""
Cy72_CD45_E06_S726_comb,72,"",3147,-3.2449,19.2267,,,"",,"",""
Cy72_CD45_E11_S731_comb,72,"",2990,-3.0333,19.435,,,"",,"",""
Cy71_CD45_D11_S527_comb,71,Malignant,5258,-7.3869,38.5889,-0.031,-0.0544,Not cycling,,"",""
Cy74_CD45_D01_S421_comb,74,T_cell,2875,7.3449,13.91,0.0434,-0.036,Not cycling,1.1139,CD8 - Cytotoxic,CD8 - Cytotoxic
Cy74_CD45_B08_S404_comb,74,B_cell,2364,-7.0978,2.8769,0.0873,-0.0321,Not cycling,,"",""
Cy72_CD45_B07_S691_comb,72,T_cell,3791,-2.1978,17.4054,0.0294,0.2314,Not cycling,0.883,CD8 - Glycolysis/MYC,""
Cy81_FNA_CD45_A03_S195_comb,81,T_cell,3352,4.0519,11.885,0.0476,0.0297,Not cycling,,"",""
Cy81_FNA_CD45_G02_S266_comb,81,T_cell,3378,0.7508,7.7929,0.0539,-0.1486,Not cycling,,"",""
Cy81_FNA_CD45_D11_S239_comb,81,T_cell,3080,1.0897,7.1387,-0.0068,0.0011,Not cycling,,"",""
Cy81_Bulk_CD45_B09_S117_comb,81,Malignant,8822,-22.8573,-25.7004,0.5908,0.2171,Not cycling,1.1284,Stress,Stress
CY58_1_CD45_F10_S1030_comb,58,T_cell,3154,2.7525,12.5037,0.03,0.0169,Not cycling,0.4037,CD4 - Interferon,""
Cy81_FNA_CD45_C06_S222_comb,81,T_cell,3167,-1.1096,17.7107,0.0183,0.0448,Not cycling,,"",""
Cy72_CD45_B06_S690_comb,72,T_cell,3037,-1.8459,19.6156,0.0588,-0.1315,Not cycling,0.1043,CD8 - Cytotoxic,""
Cy71_CD45_G09_S561_comb,71,Malignant,4196,-7.7996,38.6315,0.479,-0.0049,Not cycling,,"",""
Cy71_CD45_F11_S551_comb,71,Malignant,3731,-7.4058,38.4986,-0.125,-0.0811,Not cycling,,"",""
Cy72_CD45_G09_S753_comb,72,"",3495,-17.5773,5.4259,,,"",,"",""
Cy81_FNA_CD45_B10_S310_comb,81,Malignant,4032,-22.6928,-23.8459,0.286,-0.2136,Not cycling,0.6315,Hypoxia,""
Cy74_CD45_B03_S399_comb,74,T_cell,2542,0.1206,14.1685,0.005,0.0142,Not cycling,0.9178,CD8 - Memory/Naive1,""
Cy74_CD45_F08_S452_comb,74,T_cell,2873,6.1399,13.5868,-0.0958,-0.0952,Not cycling,1.278,CD8 - Cytotoxic,CD8 - Cytotoxic
Cy71_CD45_H10_S574_comb,71,Malignant,4819,-7.2431,38.7321,-0.1811,0.0157,Not cycling,,"",""
Cy72_CD45_D01_S709_comb,72,T_cell,2851,-1.4258,19.3603,0.0674,0.0703,Not cycling,0.2665,CD4 - Dysfunction,""
Cy74_CD45_H08_S476_comb,74,Macrophage,2994,13.7256,-17.0494,-0.0392,0.0516,Not cycling,,"",""
Cy81_Bulk_CD45_C06_S126_comb,81,Malignant,6141,-22.4986,-23.9933,-0.1689,-0.3851,Not cycling,0.8635,Stress,""
Cy74_CD45_G01_S457_comb,74,T_cell,2790,-0.8077,15.3778,-0.0229,0.0622,Not cycling,1.3553,CD8 - Memory/Naive1,CD8 - Memory/Naive1
Cy74_CD45_F02_S446_comb,74,T_cell,2699,4.5993,13.754,0.015,-0.0349,Not cycling,0.2969,CD8 - Heat shock,""
Cy81_FNA_CD45_H10_S382_comb,81,Malignant,5753,-22.3404,-25.5701,-0.1107,-0.2249,Not cycling,0.4848,Interferon/MHC-II (I),""
Cy80_II_CD45_B02_S878_comb,80,Malignant,5716,38.8979,-14.1268,0.0319,0.0508,Not cycling,0.5852,Respiration,""
Cy81_FNA_CD45_B08_S212_comb,81,T_cell,2481,-2.9492,18.5555,0.1735,-0.0288,Not cycling,,"",""
Cy71_CD45_D12_S528_comb,71,T_cell,2955,3.0161,13.6712,0.0714,0.0617,Not cycling,,"",""
Cy74_CD45_C03_S411_comb,74,B_cell,2662,-18.2738,5.3404,0.1411,-0.1154,Not cycling,,"",""
Cy71_CD45_A04_S484_comb,71,"",4514,-7.2866,38.0411,,,"",,"",""
Cy81_FNA_CD45_B11_S311_comb,81,Malignant,5483,-22.8937,-24.1212,0.3167,-0.184,Not cycling,0.5267,Skin pigmentation,""
Cy81_Bulk_CD45_B12_S120_comb,81,Malignant,7365,-22.7187,-25.4411,0.2015,-0.2193,Not cycling,0.3238,Astrocytes,""
Cy74_CD45_H06_S474_comb,74,T_cell,3050,7.3481,13.3265,0.6852,0.4595,Not cycling,1.1701,CD8 - Unassigned2,""
Cy72_CD45_H06_S762_comb,72,T_cell,2898,-2.1514,18.4117,0.0943,-0.1319,Not cycling,0.6113,CD8 - Naive3,""
Cy81_Bulk_CD45_D05_S137_comb,81,"",3176,-20.4688,-22.4041,,,"",,"",""
Cy71_CD45_A10_S490_comb,71,Malignant,4064,-7.5771,37.9908,0.0856,0.3734,Not cycling,,"",""
Cy72_CD45_A05_S677_comb,72,B_cell,3181,-19.4772,9.1323,-0.0134,-0.0732,Not cycling,,"",""
Cy80_II_CD45_F12_S936_comb,80,Malignant,6278,38.2834,-14.4317,-0.095,-0.0672,Not cycling,0.9391,Hypoxia,""
Cy81_Bulk_CD45_B01_S109_comb,81,Malignant,4650,-22.1065,-23.0471,-0.1699,-0.273,Not cycling,1.8444,Hypoxia,Hypoxia
Cy80_II_CD45_B06_S882_comb,80,Malignant,6993,39.7931,-15.0486,1.9235,0.2391,G1/S,1.4047,Cell Cycle - G1/S,Cell Cycle - G1/S
Cy71_CD45_F10_S550_comb,71,Malignant,5477,-7.7022,39.2231,0.8041,0.0315,G1/S,,"",""
Cy71_CD45_D09_S525_comb,71,Malignant,4853,-7.6686,38.0954,-0.0763,0.0884,Not cycling,,"",""
Cy72_CD45_G01_S745_comb,72,T_cell,2442,-0.9939,19.0141,-0.0094,0.1715,Not cycling,1.3257,CD4 - Cytotoxic,CD4 - Cytotoxic
Cy74_CD45_H12_S480_comb,74,T_cell,4419,6.6115,13.9104,0.7484,0.5895,G1/S,1.1184,CD8 - Cell Cycle,CD8 - Cell Cycle
CY58_1_CD45_G11_S1043_comb,58,T_cell,3027,6.4693,11.8257,0.179,0.0327,Not cycling,0.4813,CD8 - Cytotoxic,""
CY58_1_CD45_D04_S1000_comb,58,T_cell,2973,-1.437,14.5762,0.0395,-0.1423,Not cycling,1.4872,CD4 - Naive1,CD4 - Naive1
Cy71_CD45_D04_S520_comb,71,"",3384,-8.184,-21.0512,,,"",,"",""
Cy72_CD45_A11_S683_comb,72,T_cell,3472,-2.293,17.5651,0.0374,-0.1307,Not cycling,0.1731,CD8 - Naive3,""
Cy81_FNA_CD45_C11_S227_comb,81,T_cell,3591,17.0424,11.7367,-0.0797,-0.0958,Not cycling,,"",""
Cy71_CD45_F03_S543_comb,71,T_cell,3184,5.8389,13.8583,-0.0364,-0.0798,Not cycling,,"",""
Cy80_II_CD45_F07_S931_comb,80,Malignant,5503,39.5635,-14.356,-0.3031,-0.1093,Not cycling,0.5055,Skin pigmentation,""
Cy72_CD45_E10_S730_comb,72,T_cell,2537,-0.9664,20.0059,0.0639,-0.1333,Not cycling,1.1171,CD4 - Treg,CD4 - Treg
Cy71_CD45_E10_S538_comb,71,Malignant,4576,-7.5349,38.0725,-0.0388,0.1275,Not cycling,,"",""
CY58_1_CD45_F09_S1029_comb,58,T_cell,3371,-0.7889,19.3471,-0.0084,-0.0624,Not cycling,1.213,CD4 - Treg,CD4 - Treg
CY58_1_CD45_B06_S978_comb,58,"",4381,24.9332,-10.2405,,,"",,"",""
Cy80_II_CD45_B12_S888_comb,80,Malignant,4695,39.0978,-14.1916,0.4016,-0.2255,Not cycling,0.5618,Skin pigmentation,""
CY58_1_CD45_E05_S1013_comb,58,T_cell,2487,5.6313,12.1472,0.0693,0.1573,Not cycling,0.6231,CD4 - Unassigned,""
Cy71_CD45_C01_S505_comb,71,T_cell,2674,-7.0777,37.0039,0.0208,0.0385,Not cycling,,"",""
Cy74_CD45_D08_S428_comb,74,B_cell,2872,-18.9311,4.6611,0.1816,0.177,Not cycling,,"",""
CY58_1_CD45_F04_S1024_comb,58,T_cell,3959,6.542,11.2617,0.1382,0.0815,Not cycling,1.4787,CD8 - Cytotoxic,CD8 - Cytotoxic
Cy72_CD45_A01_S673_comb,72,"",8625,-10.3462,9.337,,,"",,"",""
Cy80_II_CD45_A09_S873_comb,80,Malignant,5498,39.5291,-14.4103,0.6014,0.0545,Not cycling,0.4437,Respiration,""
CY58_1_CD45_F12_S1032_comb,58,T_cell,3287,-1.0695,13.8595,-0.0959,0.0567,Not cycling,0.7533,CD4 - Naive2,""
CY58_1_CD45_G09_S1041_comb,58,T_cell,3219,-0.8809,14.5986,-0.1185,0.1452,Not cycling,0.8693,CD8 - Memory/Naive1,""
Cy81_FNA_CD45_F04_S256_comb,81,T_cell,2682,7.4405,12.7451,-0.04,-0.2053,Not cycling,,"",""
Cy74_CD45_C10_S418_comb,74,"",3196,24.8719,-10.219,,,"",,"",""
Cy80_II_CD45_F11_S935_comb,80,Malignant,5832,39.7855,-14.4798,0.5647,0.2443,Not cycling,0.4753,Respiration,""
Cy74_CD45_G04_S460_comb,74,T_cell,2632,-1.2675,16.6819,0.0658,-0.1147,Not cycling,0.7866,CD4 - Naive1,""
CY58_1_CD45_C03_S987_comb,58,T_cell,3175,-1.6022,14.1979,0.1858,0.1035,Not cycling,0.6357,CD4 - Naive2,""
Cy81_Bulk_CD45_F04_S160_comb,81,"",3165,-20.0434,-22.2079,,,"",,"",""
Cy81_Bulk_CD45_E03_S147_comb,81,Malignant,7458,-22.7481,-25.7847,0.8477,0.0739,G1/S,1.4578,Stress,Stress
Cy72_CD45_F05_S737_comb,72,T_cell,3077,-3.136,19.319,0.0028,-0.1917,Not cycling,0.5341,CD8 - Glycolysis/MYC,""
Cy72_CD45_G03_S747_comb,72,"",2528,-18.2803,4.3788,,,"",,"",""
Cy74_CD45_D03_S423_comb,74,T_cell,2593,-0.9372,14.3274,-0.0354,-0.0862,Not cycling,0.8191,CD8 - Naive2,""
Cy80_II_CD45_D04_S904_comb,80,Malignant,6941,40.0193,-14.5893,0.8069,0.1888,G1/S,0.7248,Skin pigmentation,""
Cy74_CD45_G03_S459_comb,74,T_cell,2607,-1.4803,19.0814,0.0025,-0.0925,Not cycling,1.0467,CD8 - Memory/Naive1,CD8 - Memory/Naive1
Cy81_FNA_CD45_A07_S199_comb,81,T_cell,2340,2.9771,11.2056,0.1462,-0.0547,Not cycling,,"",""
Cy71_CD45_B12_S504_comb,71,Malignant,2649,-7.5907,38.3168,-0.1146,-0.0741,Not cycling,,"",""
Cy72_CD45_B05_S689_comb,72,T_cell,2210,-0.9217,19.8396,0.0817,-0.0038,Not cycling,0.7911,CD4 - Treg,""
Cy81_Bulk_CD45_A11_S107_comb,81,Malignant,5110,-21.7842,-24.8217,0.7216,-0.06,G1/S,1.4237,Cell Cycle - G1/S,""
Cy81_Bulk_CD45_C09_S129_comb,81,"",13276,-23.3177,-25.5579,,,"",,"",""
CY58_1_CD45_A07_S967_comb,58,T_cell,3223,6.9787,11.7216,0.2934,0.4698,Not cycling,1.8009,CD4 - Cytotoxic,CD4 - Cytotoxic
Cy72_CD45_B09_S693_comb,72,B_cell,2916,-17.9835,4.4154,-0.2162,-0.0749,Not cycling,,"",""
CY58_1_CD45_F03_S1023_comb,58,T_cell,3434,0.2193,14.2816,-0.1191,0.0259,Not cycling,0.7798,CD8 - Memory/Naive1,""
Cy71_CD45_E02_S530_comb,71,Malignant,4346,-7.5893,38.2111,0.1625,-0.2216,Not cycling,,"",""
Cy71_CD45_B03_S495_comb,71,Malignant,4774,-7.3331,37.9806,-0.1277,0.2476,Not cycling,,"",""
Cy81_FNA_CD45_C08_S320_comb,81,Malignant,5491,-22.7455,-24.6392,-0.0796,-0.0873,Not cycling,0.7634,Translation initiation,""
Cy81_Bulk_CD45_G05_S173_comb,81,"",2360,-19.9341,-22.1743,,,"",,"",""
Cy74_CD45_G08_S464_comb,74,T_cell,3101,-0.2051,14.6061,0.091,0.287,Not cycling,0.7849,CD8 - Naive3,""
Cy81_Bulk_CD45_G08_S176_comb,81,"",3296,-20.4534,-22.2081,,,"",,"",""
Cy81_Bulk_CD45_C05_S125_comb,81,Malignant,5275,-9.738,-21.7247,-0.1031,-0.2247,Not cycling,1.1319,MP41 (Unassigned),""
Cy72_CD45_F02_S734_comb,72,T_cell,2625,-2.3458,18.3716,-0.0027,0.0836,Not cycling,0.6137,CD4 - Naive2,""
Cy74_CD45_E08_S440_comb,74,T_cell,2698,4.9257,14.1274,-0.0386,-0.2012,Not cycling,1.7457,CD4 - Interferon,CD4 - Interferon
Cy81_FNA_CD45_C02_S218_comb,81,T_cell,3633,5.7948,19.1706,0.0268,-0.1115,Not cycling,,"",""
CY58_1_CD45_A04_S964_comb,58,T_cell,3658,7.5233,11.7841,0.1889,0.0413,Not cycling,0.5862,CD4 - Cytotoxic,""
Cy72_CD45_C10_S706_comb,72,"",2319,-6.4114,2.8514,,,"",,"",""
Cy71_CD45_F01_S541_comb,71,Malignant,4177,-7.618,38.368,-0.2631,0.0856,Not cycling,,"",""
Cy81_Bulk_CD45_B04_S112_comb,81,Malignant,8261,-23.1259,-24.8161,-0.0778,0.0869,Not cycling,1.5832,Stress,Stress
Cy74_CD45_G07_S463_comb,74,T_cell,2512,7.7069,13.1114,-0.0405,0.0146,Not cycling,1.2118,CD8 - Cytotoxic,CD8 - Cytotoxic
Cy71_CD45_G05_S557_comb,71,Malignant,5035,-7.3519,39.0728,0.9548,0.1194,G1/S,,"",""
Cy81_Bulk_CD45_B08_S116_comb,81,"",4084,-20.2665,-22.7759,,,"",,"",""
Cy81_FNA_CD45_A05_S197_comb,81,T_cell,3011,-4.3709,16.4264,0.0277,-0.0434,Not cycling,,"",""
Cy81_FNA_CD45_H05_S281_comb,81,B_cell,3087,-19.5166,4.1776,-0.0708,0.0306,Not cycling,,"",""
Cy81_FNA_CD45_A08_S200_comb,81,T_cell,3639,16.9964,12.211,0.0083,-0.1129,Not cycling,,"",""
Cy72_CD45_A06_S678_comb,72,"",4022,24.9463,-10.1291,,,"",,"",""
Cy72_CD45_F10_S742_comb,72,B_cell,3601,-19.2526,9.651,-0.0902,0.1166,Not cycling,,"",""
Cy74_CD45_B06_S402_comb,74,T_cell,2796,17.3387,11.8731,0.1302,-0.1802,Not cycling,1.4378,CD4 - Treg,CD4 - Treg
